crab_year,fishery,group,count,obs_effort,ft_effort,cpue,avg_wt,total_catch_n,total_catch_wt,target_stock
1990,QO91,female,259,2308,1382908,0.11221837088388215,1.3518904211593573e-4,155187.6828422877,20.97967419164051,BSSC
1990,QO91,sublegal_male,946,2308,1382908,0.4098786828422877,6.153232587547551e-4,566824.5095320623,348.7803043473344,BSSC
1990,QO91,legal_male,18245,2308,1382908,7.905112651646447,5.724424574903276e-4,10932043.526863085,6257.965861908732,BSSC
1990,QP90,female,0,10,26264,0,8.58931596687746e-5,0,0,SMBKC_PIBKC
1990,QP90,sublegal_male,0,10,26264,0,2.3191832350636027e-4,0,0,SMBKC_PIBKC
1990,QP90,legal_male,0,10,26264,0,3.4211199268394354e-4,0,0,SMBKC_PIBKC
1990,TR90,female,0,140,262761,0,2.5539643675030396e-4,0,0,BBRKC
1990,TR90,sublegal_male,0,140,262761,0,6.016163904601797e-4,0,0,BBRKC
1990,TR90,legal_male,1,140,262761,0.007142857142857143,5.544053206035569e-4,1876.8642857142856,1.0405435460507944,BBRKC
1991,QB92,female,0,9,478,0,1.3959957807884777e-4,0,0,PIGKC
1991,QB92,sublegal_male,0,9,478,0,2.800732536654635e-4,0,0,PIGKC
1991,QB92,legal_male,0,9,478,0,4.579071175403321e-4,0,0,PIGKC
1991,QO92,female,161,1216,1278502,0.13240131578947367,1.5639621727047044e-4,169275.34703947368,26.47402395411981,BSSC
1991,QO92,sublegal_male,365,1216,1278502,0.3001644736842105,6.572247798822396e-4,383760.8799342105,252.21715984217607,BSSC
1991,QO92,legal_male,7563,1216,1278502,6.219572368421052,7.511832492691927e-4,7951735.712171052,5973.2106695985285,BSSC
1991,QP91,female,0,125,37104,0,8.58931596687746e-5,0,0,SMBKC_PIBKC
1991,QP91,sublegal_male,0,125,37104,0,2.3191832350636027e-4,0,0,SMBKC_PIBKC
1991,QP91,legal_male,0,125,37104,0,3.4211199268394354e-4,0,0,SMBKC_PIBKC
1991,QT91,female,26,176,140050,0.14772727272727273,2.3916007030467466e-4,20689.204545454548,4.948031613638705,WBT
1991,QT91,sublegal_male,810,176,140050,4.6022727272727275,7.727920218334748e-4,644548.2954545455,498.10178041363815,WBT
1991,QT91,legal_male,149,176,140050,0.8465909090909091,0.0010421132355494058,118565.05681818181,123.55821498389459,WBT
1991,TR91,female,0,272,227555,0,2.5539643675030396e-4,0,0,BBRKC
1991,TR91,sublegal_male,5,272,227555,0.01838235294117647,8.053692221685477e-4,4182.996323529412,3.368856495414777,BBRKC
1991,TR91,legal_male,6,272,227555,0.022058823529411766,0.001285012218643379,5019.595588235295,6.450241663530753,BBRKC
1991,TT91,female,16,358,360864,0.0446927374301676,2.224010780716358e-4,16128,3.586884587139342,EBT
1991,TT91,sublegal_male,416,358,360864,1.1620111731843576,8.008970783621125e-4,419328.00000000006,335.838570075428,EBT
1991,TT91,legal_male,55,358,360864,0.15363128491620112,0.001271181564856415,55440,70.47430595563965,EBT
1992,QB92,female,0,6,320,0,1.3959957807884777e-4,0,0,PIGKC
1992,QB92,sublegal_male,0,6,320,0,2.800732536654635e-4,0,0,PIGKC
1992,QB92,legal_male,0,6,320,0,4.579071175403321e-4,0,0,PIGKC
1992,QO93,female,57,1151,969209,0.04952215464813206,1.63465450379966e-4,47997.31798436143,7.845903201344083,BSSC
1992,QO93,sublegal_male,953,1151,969209,0.8279756733275413,6.981155833169596e-4,802481.474370113,560.2248225809452,BSSC
1992,QO93,legal_male,10443,1151,969209,9.072980017376194,5.932535225183413e-4,8793613.889661163,5216.842415707697,BSSC
1992,QP92,female,0,71,56630,0,8.58931596687746e-5,0,0,SMBKC_PIBKC
1992,QP92,sublegal_male,0,71,56630,0,2.3191832350636027e-4,0,0,SMBKC_PIBKC
1992,QP92,legal_male,0,71,56630,0,3.4211199268394354e-4,0,0,SMBKC_PIBKC
1992,QT92,female,11,212,166670,0.05188679245283019,2.0067076888550552e-4,8647.971698113208,1.7353951299604682,WBT
1992,QT92,sublegal_male,623,212,166670,2.938679245283019,7.269590853441816e-4,489789.6698113207,356.05705037706645,WBT
1992,QT92,legal_male,45,212,166670,0.21226415094339623,0.001250479060166792,35378.06603773585,44.23953076938663,WBT
1992,TR92,female,0,289,206815,0,2.5539643675030396e-4,0,0,BBRKC
1992,TR92,sublegal_male,1,289,206815,0.0034602076124567475,5.152597932896009e-4,715.6228373702422,0.3687316752567087,BBRKC
1992,TR92,legal_male,2,289,206815,0.006920415224913495,0.001460164960080912,1431.2456747404844,2.0898547835234176,BBRKC
1992,TT92,female,44,816,508922,0.05392156862745098,1.9568151760693007e-4,27441.87254901961,5.369867266368112,EBT
1992,TT92,sublegal_male,872,816,508922,1.0686274509803921,7.983950521850419e-4,543848.0196078431,434.2055679955356,EBT
1992,TT92,legal_male,137,816,508922,0.16789215686274508,0.0010657113659881538,85444.01225490196,91.05865501568012,EBT
1993,QO94,female,113,2479,716524,0.045582896329164985,1.6049100068624768e-4,32661.239209358613,5.241834964362873,BSSC
1993,QO94,sublegal_male,479,2479,716524,0.19322307382008874,6.49699250621346e-4,138448.96974586527,89.95019189318607,BSSC
1993,QO94,legal_male,2850,2479,716524,1.1496571198063736,6.247189425131437e-4,823756.918112142,514.6165507709037,BSSC
1993,QP93,female,0,84,58647,0,8.58931596687746e-5,0,0,SMBKC_PIBKC
1993,QP93,sublegal_male,0,84,58647,0,2.3191832350636027e-4,0,0,SMBKC_PIBKC
1993,QP93,legal_male,0,84,58647,0,3.4211199268394354e-4,0,0,SMBKC_PIBKC
1993,QR93,female,1,55,35942,0.01818181818181818,1.3895090644474288e-4,653.4909090909091,0.09080315417158089,PIRKC
1993,QR93,sublegal_male,4,55,35942,0.07272727272727272,5.818741155007129e-4,2613.9636363636364,1.5209977788601179,PIRKC
1993,QR93,legal_male,126,55,35942,2.290909090909091,6.035289250233837e-4,82339.85454545455,49.69448390039996,PIRKC
1993,QT93,female,49,112,40100,0.4375,1.712346866050822e-4,17543.75,3.004098533127911,WBT
1993,QT93,sublegal_male,244,112,40100,2.1785714285714284,7.400493121001494e-4,87360.71428571428,64.65123651172054,WBT
1993,QT93,legal_male,7,112,40100,0.0625,0.001221965275149178,2506.25,3.0625504708426274,WBT
1993,TR93,female,1,558,254389,0.0017921146953405018,1.650115932118799e-4,455.89426523297493,0.07522783904225254,BBRKC
1993,TR93,sublegal_male,10,558,254389,0.017921146953405017,6.481992413044231e-4,4558.942652329749,2.9551031683905173,BBRKC
